income,mean,median,p5,p10,p25,p75,p90,p95,negative_rate_count,negative_rate_pct
20500.0,0.4950199999999967,0.3719999999999959,0.3719999999999959,0.3719999999999959,0.3719999999999959,0.53,0.9919999999999958,0.9919999999999958,0,0.0
21000.0,34.225019999999994,36.772,19.592000000000002,19.592000000000002,36.772,36.772,36.93,36.93,0,0.0
21500.0,34.225019999999994,36.77199999999999,19.592000000000002,19.592000000000002,36.77199999999999,36.77199999999999,36.92999999999999,36.92999999999999,0,0.0
22000.0,34.22502,36.772000000000006,19.592000000000002,19.592000000000002,36.772000000000006,36.772000000000006,36.93000000000001,36.93000000000001,0,0.0
22500.0,34.225019999999994,36.77199999999999,19.592000000000002,19.592000000000002,36.77199999999999,36.77199999999999,36.92999999999999,36.92999999999999,0,0.0
23000.0,34.225019999999994,36.77199999999999,19.591999999999995,19.591999999999995,36.77199999999999,36.77199999999999,36.92999999999999,36.92999999999999,0,0.0
23500.0,34.225019999999994,36.77199999999999,19.592000000000002,19.592000000000002,36.77199999999999,36.77199999999999,36.92999999999999,36.92999999999999,0,0.0
24000.0,34.225020000000015,36.77200000000002,19.592000000000002,19.592000000000002,36.77200000000002,36.77200000000002,36.93000000000002,36.93000000000002,0,0.0
24500.0,34.22501999999998,36.77199999999997,19.591999999999995,19.591999999999995,36.77199999999997,36.77199999999997,36.92999999999997,36.92999999999997,0,0.0
25000.0,34.22501999999998,36.77199999999997,19.59199999999998,19.59199999999998,36.77199999999997,36.77199999999997,36.92999999999997,36.92999999999997,0,0.0
25500.0,34.225020000000136,36.772000000000155,19.591999999999977,19.591999999999977,36.772000000000155,36.772000000000155,36.930000000000156,36.930000000000156,0,0.0
26000.0,34.225019999999944,36.77199999999992,19.59200000000004,19.59200000000004,36.77199999999992,36.77199999999992,36.92999999999992,36.92999999999992,0,0.0
26500.0,34.22501999999993,36.77199999999992,19.591999999999956,19.591999999999956,36.77199999999992,36.77199999999992,36.92999999999992,36.92999999999992,0,0.0
27000.0,34.2250200000001,36.772000000000105,19.59200000000005,19.59200000000005,36.772000000000105,36.772000000000105,36.930000000000106,36.930000000000106,0,0.0
27500.0,34.22501999999993,36.77199999999992,19.59199999999995,19.59199999999995,36.77199999999992,36.77199999999992,36.92999999999992,36.92999999999992,0,0.0
28000.0,34.225019999999944,36.77199999999992,19.59200000000005,19.59200000000005,36.77199999999992,36.77199999999992,36.92999999999992,36.92999999999992,0,0.0
28500.0,34.22502000000009,36.772000000000105,19.591999999999956,19.591999999999956,36.772000000000105,36.772000000000105,36.930000000000106,36.930000000000106,0,0.0
29000.0,34.225019999999944,36.77199999999992,19.59200000000005,19.59200000000005,36.77199999999992,36.77199999999992,36.92999999999992,36.92999999999992,0,0.0
29500.0,34.22501999999993,36.77199999999992,19.591999999999956,19.591999999999956,36.77199999999992,36.77199999999992,36.92999999999992,36.92999999999992,0,0.0
30000.0,34.2250200000001,36.772000000000105,19.59200000000004,19.59200000000004,36.772000000000105,36.772000000000105,36.930000000000106,36.930000000000106,0,0.0
30500.0,34.225020000000015,36.77200000000002,19.592000000000002,19.592000000000002,36.77200000000002,36.77200000000002,36.93000000000002,36.93000000000002,0,0.0
31000.0,34.22501999999985,36.771999999999835,19.591999999999995,19.591999999999995,36.771999999999835,36.771999999999835,36.929999999999836,36.929999999999836,0,0.0
31500.0,34.22502000000009,36.772000000000105,19.592000000000002,19.592000000000002,36.772000000000105,36.772000000000105,36.930000000000106,36.930000000000106,0,0.0
32000.0,34.22501999999994,36.77199999999992,19.591999999999995,19.591999999999995,36.77199999999992,36.77199999999992,36.92999999999992,36.92999999999992,0,0.0
32500.0,34.22502000000009,36.772000000000105,19.592,19.592,36.772000000000105,36.772000000000105,36.930000000000106,36.930000000000106,0,0.0
33000.0,34.22501999999994,36.77199999999992,19.592,19.592,36.77199999999992,36.77199999999992,36.92999999999992,36.92999999999992,0,0.0
33500.0,34.22502000000009,36.772000000000105,19.592,19.592,36.772000000000105,36.772000000000105,36.930000000000106,36.930000000000106,0,0.0
34000.0,34.22502000000009,36.772000000000105,19.591999999999995,19.591999999999995,36.772000000000105,36.772000000000105,36.930000000000106,36.930000000000106,0,0.0
34500.0,34.225019999999944,36.77199999999993,19.592000000000006,19.592000000000006,36.77199999999993,36.77199999999993,36.92999999999992,36.92999999999992,0,0.0
35000.0,34.22501999999994,36.77199999999992,19.591999999999995,19.591999999999995,36.77199999999992,36.77199999999992,36.92999999999992,36.92999999999992,0,0.0
35500.0,34.22502000000009,36.772000000000105,19.592000000000002,19.592000000000002,36.772000000000105,36.772000000000105,36.930000000000106,36.930000000000106,0,0.0
36000.0,34.22501999999994,36.77199999999992,19.591999999999995,19.591999999999995,36.77199999999992,36.77199999999992,36.92999999999992,36.92999999999992,0,0.0
36500.0,34.22501999999994,36.77199999999992,19.592,19.592,36.77199999999992,36.77199999999992,36.92999999999992,36.92999999999992,0,0.0
37000.0,34.22502000000009,36.772000000000105,19.592,19.592,36.772000000000105,36.772000000000105,36.930000000000106,36.930000000000106,0,0.0
37500.0,34.22501999999994,36.77199999999992,19.592,19.592,36.77199999999992,36.77199999999992,36.92999999999992,36.92999999999992,0,0.0
38000.0,34.22502000000009,36.772000000000105,19.591999999999995,19.591999999999995,36.772000000000105,36.772000000000105,36.930000000000106,36.930000000000106,0,0.0
38500.0,34.22501999999994,36.77199999999992,19.592000000000002,19.592000000000002,36.77199999999992,36.77199999999992,36.92999999999992,36.92999999999992,0,0.0
39000.0,34.22501999999994,36.77199999999992,19.591999999999995,19.591999999999995,36.77199999999992,36.77199999999992,36.92999999999992,36.92999999999992,0,0.0
39500.0,34.22502000000009,36.772000000000105,19.592,19.592,36.772000000000105,36.772000000000105,36.930000000000106,36.930000000000106,0,0.0
40000.0,15.951420000000105,14.21200000000011,-2.9679999999999063,-2.9679999999999063,14.21200000000011,14.21200000000011,36.930000000000106,36.930000000000106,15,15.0
40500.0,34.35299999999978,36.929999999999744,19.75,19.75,36.929999999999744,36.929999999999744,36.929999999999744,36.929999999999744,0,0.0
41000.0,34.35300000000009,36.930000000000106,19.749999999999908,19.749999999999908,36.930000000000106,36.930000000000106,36.930000000000106,36.930000000000106,0,0.0
41500.0,34.353000000000115,36.930000000000106,19.750000000000092,19.750000000000092,36.930000000000106,36.930000000000106,36.930000000000106,36.930000000000106,0,0.0
42000.0,34.35300000000008,36.930000000000106,19.74999999999982,19.74999999999982,36.930000000000106,36.930000000000106,36.930000000000106,36.930000000000106,0,0.0
42500.0,34.35299999999963,36.92999999999956,19.750000000000092,19.750000000000092,36.92999999999956,36.92999999999956,36.92999999999956,36.92999999999956,0,0.0
43000.0,34.3530000000001,36.930000000000106,19.75,19.75,36.930000000000106,36.930000000000106,36.930000000000106,36.930000000000106,0,0.0
43500.0,34.352999999999945,36.92999999999993,19.75,19.75,36.92999999999993,36.92999999999993,36.92999999999993,36.92999999999993,0,0.0
44000.0,34.35300000000009,36.930000000000106,19.74999999999991,19.74999999999991,36.930000000000106,36.930000000000106,36.930000000000106,36.930000000000106,0,0.0
