income,income_cents,zorgtoeslag,zorgtoeslag_eligible,huurtoeslag,huurtoeslag_eligible,bijstand,bijstand_eligible,tax,tax_credits,disposable_income,marginal_rate_zorgtoeslag,marginal_rate_huurtoeslag,marginal_rate_bijstand,marginal_rate_tax,marginal_rate_tax_credits,marginal_rate_total
19500.0,1950000,145.19,True,0.0,True,0.0,False,0.0,7568.0,1770.19,-0.15833333333333144,0.0,0.0,0.0,0.0,-0.15833333333333144
19600.0,1960000,145.03166666666667,True,0.0,True,0.0,False,0.0,7568.0,1778.3650000000002,-0.15833333333333144,0.0,0.0,0.0,0.0,-0.15833333333333144
19700.0,1970000,144.87416666666667,True,0.0,True,0.0,False,0.0,7568.0,1786.5408333333332,-0.15749999999999886,0.0,0.0,0.0,0.0,-0.15749999999999886
19800.0,1980000,144.71583333333334,True,0.0,True,0.0,False,0.0,7568.0,1794.7158333333334,-0.15833333333333144,0.0,0.0,0.0,0.0,-0.15833333333333144
19900.0,1990000,144.55833333333334,True,0.0,True,0.0,False,0.0,7568.0,1802.8916666666669,-0.15749999999999886,0.0,0.0,0.0,0.0,-0.15749999999999886
20000.0,2000000,144.4,True,0.0,True,0.0,False,0.0,7568.0,1811.0666666666666,-0.15833333333333144,0.0,0.0,0.0,0.0,-0.15833333333333144
20100.0,2010000,144.24166666666667,True,0.0,True,0.0,False,0.0,7568.0,1819.2416666666668,-0.15833333333333144,0.0,0.0,0.0,0.0,-0.15833333333333144
20200.0,2020000,144.08416666666668,True,0.0,True,0.0,False,0.0,7568.0,1827.4175000000002,-0.15749999999999886,0.0,0.0,0.0,0.0,-0.15749999999999886
20300.0,2030000,143.92583333333332,True,0.0,True,0.0,False,0.0,7568.0,1835.5924999999997,-0.15833333333335986,0.0,0.0,0.0,0.0,-0.15833333333335986
20400.0,2040000,143.76833333333335,True,0.0,True,0.0,False,0.0,7568.0,1843.7683333333334,-0.15749999999997044,0.0,0.0,0.0,0.0,-0.15749999999997044
20500.0,2050000,143.60999999999999,True,0.0,True,0.0,False,2.65,7568.0,1851.7225,-0.15833333333335986,0.0,0.0,2.65,0.0,2.49166666666664
20600.0,2060000,143.45166666666668,True,0.0,True,0.0,False,39.58,7568.0,1856.8199999999997,-0.15833333333330302,0.0,0.0,36.93,0.0,36.7716666666667
20700.0,2070000,143.29416666666665,True,0.0,True,0.0,False,76.51,7568.0,1861.9183333333333,-0.15750000000002728,0.0,0.0,36.93000000000001,0.0,36.77249999999998
20800.0,2080000,143.13583333333335,True,0.0,True,0.0,False,113.44,7568.0,1867.0158333333334,-0.15833333333330302,0.0,0.0,36.92999999999999,0.0,36.77166666666669
20900.0,2090000,142.97833333333332,True,0.0,True,0.0,False,150.37,7568.0,1872.1141666666665,-0.15750000000002728,0.0,0.0,36.93000000000001,0.0,36.77249999999998
21000.0,2100000,142.82,True,0.0,True,0.0,False,187.3,7568.0,1877.2116666666666,-0.15833333333333144,0.0,0.0,36.93000000000001,0.0,36.771666666666675
21100.0,2110000,142.66166666666666,True,0.0,True,0.0,False,224.23,7568.0,1882.309166666667,-0.15833333333333144,0.0,0.0,36.92999999999998,0.0,36.77166666666665
21200.0,2120000,142.50416666666666,True,0.0,True,0.0,False,261.16,7568.0,1887.4074999999998,-0.15749999999999886,0.0,0.0,36.930000000000035,0.0,36.772500000000036
21300.0,2130000,142.34583333333333,True,0.0,True,0.0,False,298.09,7568.0,1892.5049999999999,-0.15833333333333144,0.0,0.0,36.92999999999995,0.0,36.77166666666662
21400.0,2140000,142.18833333333333,True,0.0,True,0.0,False,335.02,7568.0,1897.6033333333335,-0.15749999999999886,0.0,0.0,36.93000000000001,0.0,36.77250000000001
21500.0,2150000,142.03,True,0.0,True,0.0,False,371.95,7568.0,1902.700833333333,-0.15833333333333144,0.0,0.0,36.93000000000001,0.0,36.771666666666675
21600.0,2160000,141.87166666666667,True,0.0,True,0.0,False,408.88,7568.0,1907.7983333333334,-0.15833333333333144,0.0,0.0,36.93000000000001,0.0,36.771666666666675
21700.0,2170000,141.71416666666667,True,0.0,True,0.0,False,445.81,7568.0,1912.8966666666668,-0.15749999999999886,0.0,0.0,36.93000000000001,0.0,36.77250000000001
21800.0,2180000,141.55583333333334,True,0.0,True,0.0,False,482.74,7568.0,1917.9941666666666,-0.15833333333333144,0.0,0.0,36.93000000000001,0.0,36.771666666666675
21900.0,2190000,141.39833333333334,True,0.0,True,0.0,False,519.67,7568.0,1923.0925,-0.15749999999999886,0.0,0.0,36.92999999999995,0.0,36.77249999999995
22000.0,2200000,141.24,True,0.0,True,0.0,False,556.6,7568.0,1928.19,-0.15833333333333144,0.0,0.0,36.930000000000064,0.0,36.77166666666673
22100.0,2210000,141.08166666666668,True,0.0,True,0.0,False,593.53,7568.0,1933.2875,-0.15833333333333144,0.0,0.0,36.92999999999995,0.0,36.77166666666662
22200.0,2220000,140.92416666666665,True,0.0,True,0.0,False,630.46,7568.0,1938.3858333333333,-0.15750000000002728,0.0,0.0,36.930000000000064,0.0,36.772500000000036
22300.0,2230000,140.76583333333335,True,0.0,True,0.0,False,667.39,7568.0,1943.4833333333336,-0.15833333333330302,0.0,0.0,36.92999999999995,0.0,36.77166666666665
