ID,StatusVanBewoning,RegioS,Perioden,TotaleWoningvoorraad_1,Koopwoningen_2,TotaalHuurwoningen_3,EigendomWoningcorporatie_4,EigendomOverigeVerhuurders_5,EigendomOnbekend_6
168,Totaal,Noord-Holland (PV),2012,1253521.0,620197.0,619294.0,432874.0,186420.0,14030.0
169,Totaal,Noord-Holland (PV),2013,1262787.0,627582.0,624358.0,431082.0,193276.0,10847.0
170,Totaal,Noord-Holland (PV),2014,1278533.0,632826.0,632575.0,429679.0,202896.0,13132.0
171,Totaal,Noord-Holland (PV),2015,1287671.0,640136.0,637529.0,435314.0,202215.0,10006.0
172,Totaal,Noord-Holland (PV),2016,1300094.0,647361.0,640877.0,429352.0,211525.0,11856.0
173,Totaal,Noord-Holland (PV),2017,1307353.0,651685.0,644568.0,426362.0,218206.0,11100.0
174,Totaal,Noord-Holland (PV),2018,1318336.0,663831.0,643922.0,425818.0,218104.0,10583.0
175,Totaal,Noord-Holland (PV),2019,1334099.0,677299.0,653156.0,433585.0,219571.0,3644.0
176,Totaal,Noord-Holland (PV),2020,1348750.0,680718.0,665456.0,431439.0,234017.0,2576.0
177,Totaal,Noord-Holland (PV),2021,1359800.0,684465.0,673017.0,432776.0,240241.0,2318.0
178,Totaal,Noord-Holland (PV),2022,1376949.0,692435.0,682316.0,434956.0,247360.0,2198.0
179,Totaal,Noord-Holland (PV),2023,1392040.0,697661.0,692752.0,437156.0,255596.0,1627.0
180,Totaal,Noord-Holland (PV),2024,1405033.0,706594.0,696967.0,437722.0,259245.0,1472.0
181,Totaal,Noord-Holland (PV),2025,1420068.0,720773.0,697948.0,439734.0,258214.0,1347.0
182,Totaal,Zuid-Holland (PV),2012,1605446.0,820320.0,769570.0,562432.0,207138.0,15556.0
183,Totaal,Zuid-Holland (PV),2013,1618645.0,827244.0,778693.0,563067.0,215626.0,12708.0
184,Totaal,Zuid-Holland (PV),2014,1636097.0,832573.0,786333.0,561068.0,225265.0,17191.0
185,Totaal,Zuid-Holland (PV),2015,1647422.0,839841.0,789375.0,566308.0,223067.0,18206.0
186,Totaal,Zuid-Holland (PV),2016,1657234.0,847024.0,791373.0,558331.0,233042.0,18837.0
187,Totaal,Zuid-Holland (PV),2017,1666690.0,852835.0,796788.0,557643.0,239145.0,17067.0
188,Totaal,Zuid-Holland (PV),2018,1677634.0,861111.0,798824.0,554990.0,243834.0,17699.0
189,Totaal,Zuid-Holland (PV),2019,1675517.0,875435.0,793487.0,554827.0,238660.0,6595.0
190,Totaal,Zuid-Holland (PV),2020,1692888.0,881914.0,807272.0,555587.0,251685.0,3702.0
191,Totaal,Zuid-Holland (PV),2021,1709692.0,887826.0,818285.0,555477.0,262808.0,3581.0
192,Totaal,Zuid-Holland (PV),2022,1724095.0,896328.0,824925.0,554982.0,269943.0,2842.0
193,Totaal,Zuid-Holland (PV),2023,1739207.0,904057.0,832830.0,555007.0,277823.0,2320.0
194,Totaal,Zuid-Holland (PV),2024,1757692.0,915432.0,840599.0,557541.0,283058.0,1661.0
195,Totaal,Zuid-Holland (PV),2025,1773458.0,931678.0,840161.0,558574.0,281587.0,1619.0
196,Totaal,Zeeland (PV),2012,181244.0,118324.0,61595.0,43105.0,18490.0,1325.0
197,Totaal,Zeeland (PV),2013,180369.0,117750.0,61712.0,43364.0,18348.0,907.0
198,Totaal,Zeeland (PV),2014,182368.0,117631.0,62694.0,43190.0,19504.0,2043.0
199,Totaal,Zeeland (PV),2015,182668.0,118288.0,62533.0,43196.0,19337.0,1847.0
200,Totaal,Zeeland (PV),2016,183611.0,118997.0,62351.0,43029.0,19322.0,2263.0
201,Totaal,Zeeland (PV),2017,184354.0,119028.0,63069.0,42860.0,20209.0,2257.0
202,Totaal,Zeeland (PV),2018,185264.0,120926.0,62063.0,42648.0,19415.0,2275.0
203,Totaal,Zeeland (PV),2019,186528.0,123844.0,60133.0,42406.0,17727.0,2551.0
204,Totaal,Zeeland (PV),2020,187611.0,124132.0,61337.0,42201.0,19136.0,2142.0
205,Totaal,Zeeland (PV),2021,188560.0,125046.0,61276.0,41683.0,19593.0,2238.0
206,Totaal,Zeeland (PV),2022,189397.0,126327.0,60894.0,41216.0,19678.0,2176.0
207,Totaal,Zeeland (PV),2023,190577.0,127223.0,61401.0,41483.0,19918.0,1953.0
208,Totaal,Zeeland (PV),2024,192356.0,128762.0,61844.0,41338.0,20506.0,1750.0
209,Totaal,Zeeland (PV),2025,193454.0,130061.0,61757.0,41241.0,20516.0,1636.0
210,Totaal,Noord-Brabant (PV),2012,1050418.0,646933.0,395889.0,302093.0,93796.0,7596.0
211,Totaal,Noord-Brabant (PV),2013,1062383.0,653545.0,403608.0,305423.0,98185.0,5230.0
212,Totaal,Noord-Brabant (PV),2014,1078782.0,656849.0,413771.0,308949.0,104822.0,8162.0
213,Totaal,Noord-Brabant (PV),2015,1087416.0,660865.0,418506.0,310421.0,108085.0,8045.0
214,Totaal,Noord-Brabant (PV),2016,1096399.0,665758.0,420089.0,308258.0,111831.0,10552.0
215,Totaal,Noord-Brabant (PV),2017,1104296.0,668710.0,425705.0,307776.0,117929.0,9881.0
216,Totaal,Noord-Brabant (PV),2018,1116102.0,679262.0,427240.0,308532.0,118708.0,9600.0
217,Totaal,Noord-Brabant (PV),2019,1128847.0,693058.0,433115.0,313769.0,119346.0,2674.0
218,Totaal,Noord-Brabant (PV),2020,1140611.0,698249.0,440977.0,314525.0,126452.0,1385.0
219,Totaal,Noord-Brabant (PV),2021,1151426.0,703732.0,446421.0,314933.0,131488.0,1273.0
220,Totaal,Noord-Brabant (PV),2022,1164414.0,711374.0,451723.0,316470.0,135253.0,1317.0
221,Totaal,Noord-Brabant (PV),2023,1178274.0,717710.0,459618.0,318610.0,141008.0,946.0
222,Totaal,Noord-Brabant (PV),2024,1190837.0,726365.0,463702.0,320264.0,143438.0,770.0
223,Totaal,Noord-Brabant (PV),2025,1201653.0,735719.0,465303.0,322131.0,143172.0,631.0
224,Totaal,Limburg (PV),2012,510025.0,307671.0,197174.0,138448.0,58726.0,5180.0
225,Totaal,Limburg (PV),2013,514028.0,308685.0,201546.0,139404.0,62142.0,3797.0
226,Totaal,Limburg (PV),2014,520664.0,310860.0,203336.0,140524.0,62812.0,6468.0
227,Totaal,Limburg (PV),2015,523368.0,310288.0,206670.0,141331.0,65339.0,6410.0
228,Totaal,Limburg (PV),2016,524633.0,310626.0,207496.0,140503.0,66993.0,6511.0
229,Totaal,Limburg (PV),2017,527097.0,311131.0,209638.0,140314.0,69324.0,6328.0
230,Totaal,Limburg (PV),2018,529301.0,315862.0,207042.0,138394.0,68648.0,6397.0
231,Totaal,Limburg (PV),2019,531082.0,321316.0,207443.0,139942.0,67501.0,2323.0
232,Totaal,Limburg (PV),2020,533231.0,322134.0,209492.0,139698.0,69794.0,1605.0
233,Totaal,Limburg (PV),2021,536617.0,323975.0,210965.0,139811.0,71154.0,1677.0
234,Totaal,Limburg (PV),2022,540435.0,326245.0,212471.0,139580.0,72891.0,1719.0
235,Totaal,Limburg (PV),2023,544760.0,327911.0,215295.0,140300.0,74995.0,1554.0
236,Totaal,Limburg (PV),2024,548613.0,329913.0,217426.0,140770.0,76656.0,1274.0
237,Totaal,Limburg (PV),2025,551489.0,333076.0,217272.0,141069.0,76203.0,1141.0
238,Totaal,Oost-Groningen (CR),2012,68173.0,43798.0,23830.0,18383.0,5447.0,545.0
239,Totaal,Oost-Groningen (CR),2013,68205.0,43860.0,24013.0,18383.0,5630.0,332.0
240,Totaal,Oost-Groningen (CR),2014,68883.0,43690.0,24441.0,18465.0,5976.0,752.0
241,Totaal,Oost-Groningen (CR),2015,69232.0,43691.0,24714.0,18714.0,6000.0,827.0
242,Totaal,Oost-Groningen (CR),2016,69426.0,43543.0,24951.0,18535.0,6416.0,932.0
243,Totaal,Oost-Groningen (CR),2017,69570.0,43424.0,25080.0,18455.0,6625.0,1066.0
244,Totaal,Oost-Groningen (CR),2018,64154.0,40320.0,22797.0,16903.0,5894.0,1037.0
245,Totaal,Oost-Groningen (CR),2019,64267.0,40975.0,22732.0,17224.0,5508.0,560.0
246,Totaal,Oost-Groningen (CR),2020,64431.0,40937.0,22979.0,17213.0,5766.0,515.0
247,Totaal,Oost-Groningen (CR),2021,64481.0,41004.0,23274.0,16611.0,6663.0,203.0
248,Totaal,Oost-Groningen (CR),2022,64617.0,41210.0,23105.0,16577.0,6528.0,302.0
249,Totaal,Oost-Groningen (CR),2023,64946.0,41399.0,23244.0,16603.0,6641.0,303.0
250,Totaal,Oost-Groningen (CR),2024,65311.0,41762.0,23279.0,16603.0,6676.0,270.0
251,Totaal,Oost-Groningen (CR),2025,65542.0,42117.0,23217.0,16612.0,6605.0,208.0
252,Totaal,Delfzijl en omgeving (CR),2012,22192.0,13309.0,8802.0,7068.0,1734.0,81.0
253,Totaal,Delfzijl en omgeving (CR),2013,22320.0,13337.0,8905.0,7162.0,1743.0,78.0
254,Totaal,Delfzijl en omgeving (CR),2014,22690.0,13305.0,9353.0,7420.0,1933.0,32.0
255,Totaal,Delfzijl en omgeving (CR),2015,22739.0,13270.0,9432.0,7442.0,1990.0,37.0
256,Totaal,Delfzijl en omgeving (CR),2016,22802.0,13498.0,9102.0,7384.0,1718.0,202.0
257,Totaal,Delfzijl en omgeving (CR),2017,22763.0,13442.0,9119.0,7325.0,1794.0,202.0
258,Totaal,Delfzijl en omgeving (CR),2018,22853.0,13437.0,9283.0,7338.0,1945.0,133.0
259,Totaal,Delfzijl en omgeving (CR),2019,22912.0,13467.0,9404.0,7375.0,2029.0,41.0
260,Totaal,Delfzijl en omgeving (CR),2020,22952.0,13415.0,9529.0,7375.0,2154.0,8.0
261,Totaal,Delfzijl en omgeving (CR),2021,23083.0,13343.0,9734.0,7404.0,2330.0,6.0
262,Totaal,Delfzijl en omgeving (CR),2022,23177.0,13335.0,9815.0,7214.0,2601.0,27.0
263,Totaal,Delfzijl en omgeving (CR),2023,23587.0,13402.0,10176.0,7404.0,2772.0,9.0
264,Totaal,Delfzijl en omgeving (CR),2024,23616.0,13373.0,10237.0,7360.0,2877.0,6.0
265,Totaal,Delfzijl en omgeving (CR),2025,23649.0,13360.0,10283.0,7375.0,2908.0,6.0
266,Totaal,Overig Groningen (CR),2012,174967.0,91132.0,81027.0,55278.0,25749.0,2808.0
267,Totaal,Overig Groningen (CR),2013,176941.0,91459.0,83438.0,56117.0,27321.0,2044.0
