field_name,predicted_sensitivity,confidence,rule_used,rule_description,needs_manual_review,alternative_matches,reasoning,service,law,section,existing_sensitivity
BSN,5,0.41,BSN_identifiers,Burgerservicenummer - highest sensitivity identifier,True,"[{'rule': 'identifiers_administrative', 'sensitivity': 1, 'confidence': 0.162}]",Matched rule 'BSN_identifiers': Exact match with 'BSN',TOESLAGEN,zorgtoeslagwet,parameters,
LEEFTIJD,2,0.9,age_demographics,Age and age-related demographics,False,"[{'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.277}, {'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}]","Matched rule 'age_demographics': Exact match with 'LEEFTIJD', Ends with 'LEEFTIJD', Contains 'LEEFTIJD'",TOESLAGEN,zorgtoeslagwet,input,
HEEFT_PARTNER,1,0.396,boolean_flags,Boolean flags and indicators,True,[],Matched rule 'boolean_flags': Starts with 'HEEFT_',TOESLAGEN,zorgtoeslagwet,input,
HEEFT_VERZEKERING,1,0.396,boolean_flags,Boolean flags and indicators,True,[],Matched rule 'boolean_flags': Starts with 'HEEFT_',TOESLAGEN,zorgtoeslagwet,input,
HEEFT_VERDRAGSVERZEKERING,1,0.396,boolean_flags,Boolean flags and indicators,True,[],Matched rule 'boolean_flags': Starts with 'HEEFT_',TOESLAGEN,zorgtoeslagwet,input,
IS_GEDETINEERD,1,0.396,boolean_flags,Boolean flags and indicators,True,[],Matched rule 'boolean_flags': Starts with 'IS_',TOESLAGEN,zorgtoeslagwet,input,
IS_FORENSISCH,1,0.396,boolean_flags,Boolean flags and indicators,True,[],Matched rule 'boolean_flags': Starts with 'IS_',TOESLAGEN,zorgtoeslagwet,input,
INKOMEN,4,0.582,detailed_income,Detailed income information,True,"[{'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.554}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Matched rule 'detailed_income': Contains 'INKOMEN',TOESLAGEN,zorgtoeslagwet,input,
VERMOGEN,5,0.554,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.403}, {'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.62),TOESLAGEN,zorgtoeslagwet,input,
GEZAMENLIJK_VERMOGEN,5,0.554,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.403}, {'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.62),TOESLAGEN,zorgtoeslagwet,input,
PARTNER_INKOMEN,4,0.88,partner_personal_data,Detailed partner information,False,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.582}, {'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.554}]","Matched rule 'partner_personal_data': Starts with 'PARTNER_', Contains 'PARTNER_INKOMEN'",TOESLAGEN,zorgtoeslagwet,input,
STANDAARDPREMIE,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),TOESLAGEN,zorgtoeslagwet,input,
is_verzekerde_zorgtoeslag,1,0.396,boolean_flags,Boolean flags and indicators,True,[],Matched rule 'boolean_flags': Starts with 'IS_',TOESLAGEN,zorgtoeslagwet,output,
hoogte_toeslag,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),TOESLAGEN,zorgtoeslagwet,output,
BSN,5,0.41,BSN_identifiers,Burgerservicenummer - highest sensitivity identifier,True,"[{'rule': 'identifiers_administrative', 'sensitivity': 1, 'confidence': 0.162}]",Matched rule 'BSN_identifiers': Exact match with 'BSN',TOESLAGEN,zorgtoeslagwet,parameters,5.0
LEEFTIJD,2,0.9,age_demographics,Age and age-related demographics,False,"[{'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.277}, {'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}]","Matched rule 'age_demographics': Exact match with 'LEEFTIJD', Ends with 'LEEFTIJD', Contains 'LEEFTIJD'",TOESLAGEN,zorgtoeslagwet,input,
IS_VERZEKERDE,1,0.396,boolean_flags,Boolean flags and indicators,True,[],Matched rule 'boolean_flags': Starts with 'IS_',TOESLAGEN,zorgtoeslagwet,input,
INKOMEN,4,0.582,detailed_income,Detailed income information,True,"[{'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.554}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Matched rule 'detailed_income': Contains 'INKOMEN',TOESLAGEN,zorgtoeslagwet,input,
VERMOGEN,5,0.554,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.403}, {'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.62),TOESLAGEN,zorgtoeslagwet,input,
GEZAMENLIJK_VERMOGEN,5,0.554,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.403}, {'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.62),TOESLAGEN,zorgtoeslagwet,input,
PARTNER_INKOMEN,4,0.88,partner_personal_data,Detailed partner information,False,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.582}, {'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.554}]","Matched rule 'partner_personal_data': Starts with 'PARTNER_', Contains 'PARTNER_INKOMEN'",TOESLAGEN,zorgtoeslagwet,input,
HEEFT_PARTNER,1,0.396,boolean_flags,Boolean flags and indicators,True,[],Matched rule 'boolean_flags': Starts with 'HEEFT_',TOESLAGEN,zorgtoeslagwet,input,
STANDAARDPREMIE,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),TOESLAGEN,zorgtoeslagwet,input,
is_verzekerde_zorgtoeslag,1,0.396,boolean_flags,Boolean flags and indicators,True,[],Matched rule 'boolean_flags': Starts with 'IS_',TOESLAGEN,zorgtoeslagwet,output,1.0
hoogte_toeslag,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),TOESLAGEN,zorgtoeslagwet,output,3.0
BSN,5,0.41,BSN_identifiers,Burgerservicenummer - highest sensitivity identifier,True,"[{'rule': 'identifiers_administrative', 'sensitivity': 1, 'confidence': 0.162}]",Matched rule 'BSN_identifiers': Exact match with 'BSN',TOESLAGEN,wet_kinderopvang,parameters,
KINDEROPVANG_KVK,1,0.162,identifiers_administrative,Administrative identifiers and codes,True,"[{'rule': 'BSN_identifiers', 'sensitivity': 5, 'confidence': 0.137}]",Partial match with rule 'identifiers_administrative' (score: 0.19),TOESLAGEN,wet_kinderopvang,sources,
AANGEGEVEN_UREN,3,0.3,default_fallback,No rules matched - defaulted to medium sensitivity,True,[],Field did not match any classification rules,TOESLAGEN,wet_kinderopvang,sources,
VERWACHTE_PARTNER_UREN,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),TOESLAGEN,wet_kinderopvang,sources,
INKOMEN,4,0.582,detailed_income,Detailed income information,True,"[{'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.554}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Matched rule 'detailed_income': Contains 'INKOMEN',TOESLAGEN,wet_kinderopvang,input,
PARTNER_BSN,4,0.88,partner_personal_data,Detailed partner information,False,"[{'rule': 'BSN_identifiers', 'sensitivity': 5, 'confidence': 0.512}, {'rule': 'identifiers_administrative', 'sensitivity': 1, 'confidence': 0.162}]","Matched rule 'partner_personal_data': Starts with 'PARTNER_', Contains 'PARTNER_BSN'",TOESLAGEN,wet_kinderopvang,input,
PARTNER_INKOMEN,4,0.88,partner_personal_data,Detailed partner information,False,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.582}, {'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.554}]","Matched rule 'partner_personal_data': Starts with 'PARTNER_', Contains 'PARTNER_INKOMEN'",TOESLAGEN,wet_kinderopvang,input,
KINDEREN_BSNS,3,0.3,default_fallback,No rules matched - defaulted to medium sensitivity,True,[],Field did not match any classification rules,TOESLAGEN,wet_kinderopvang,input,
GEWERKTE_UREN,5,0.277,exact_financial_amounts,Exact financial amounts without aggregation,True,"[{'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}, {'rule': 'detailed_assets', 'sensitivity': 4, 'confidence': 0.179}]",Partial match with rule 'exact_financial_amounts' (score: 0.31),TOESLAGEN,wet_kinderopvang,input,
PARTNER_GEWERKTE_UREN,4,0.352,partner_personal_data,Detailed partner information,True,"[{'rule': 'exact_financial_amounts', 'sensitivity': 5, 'confidence': 0.277}, {'rule': 'detailed_income', 'sensitivity': 4, 'confidence': 0.179}]",Matched rule 'partner_personal_data': Starts with 'PARTNER_',TOESLAGEN,wet_kinderopvang,input,
is_gerechtigd,1,0.396,boolean_flags,Boolean flags and indicators,True,[],Matched rule 'boolean_flags': Starts with 'IS_',TOESLAGEN,wet_kinderopvang,output,
